transcriptId,meetingType,model,groundTruthCount,predictionCount,truePositive,falsePositive,falseNegative,precision,recall,f1,latencyMs,error
transcript-013,SPRINT_REVIEW,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
transcript-014,RETROSPECTIVE,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
transcript-015,TECHNICAL_DISCUSSION,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
transcript-016,DAILY_STANDUP,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
transcript-017,SPRINT_PLANNING,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
transcript-018,SPRINT_REVIEW,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
transcript-019,RETROSPECTIVE,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
transcript-020,TECHNICAL_DISCUSSION,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
transcript-021,DAILY_STANDUP,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
transcript-022,SPRINT_PLANNING,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
transcript-023,SPRINT_REVIEW,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
transcript-024,RETROSPECTIVE,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
transcript-025,TECHNICAL_DISCUSSION,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
transcript-026,DAILY_STANDUP,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
transcript-027,SPRINT_PLANNING,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
transcript-028,SPRINT_REVIEW,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
transcript-029,RETROSPECTIVE,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
transcript-030,TECHNICAL_DISCUSSION,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
transcript-031,DAILY_STANDUP,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
transcript-032,SPRINT_PLANNING,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
transcript-033,SPRINT_REVIEW,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
transcript-034,RETROSPECTIVE,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
transcript-035,TECHNICAL_DISCUSSION,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
transcript-036,DAILY_STANDUP,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
transcript-037,SPRINT_PLANNING,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
transcript-038,SPRINT_REVIEW,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
transcript-039,RETROSPECTIVE,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
transcript-040,TECHNICAL_DISCUSSION,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
transcript-041,DAILY_STANDUP,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
transcript-042,SPRINT_PLANNING,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
transcript-043,SPRINT_REVIEW,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
transcript-044,RETROSPECTIVE,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
transcript-045,TECHNICAL_DISCUSSION,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
transcript-046,DAILY_STANDUP,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
transcript-047,SPRINT_PLANNING,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
transcript-048,SPRINT_REVIEW,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
transcript-049,RETROSPECTIVE,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
transcript-050,TECHNICAL_DISCUSSION,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
transcript-051,DAILY_STANDUP,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
transcript-052,SPRINT_PLANNING,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
transcript-053,SPRINT_REVIEW,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
transcript-054,RETROSPECTIVE,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
transcript-055,TECHNICAL_DISCUSSION,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
transcript-056,DAILY_STANDUP,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
transcript-057,SPRINT_PLANNING,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
transcript-058,SPRINT_REVIEW,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
transcript-059,RETROSPECTIVE,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
transcript-060,TECHNICAL_DISCUSSION,ORACLE_PIPELINE_CHECK_NOT_AN_AI_RESULT,5,5,5,0,0,1,1,1,0,
